,DHI,DNI,WS,RH,T,TARGET
288,0,0,0.8,80.92,-2.8,0.0
289,0,0,0.9,81.53,-2.9,0.0
290,0,0,1.0,79.91,-3.0,0.0
291,0,0,0.9,79.91,-3.0,0.0
292,0,0,0.9,77.2,-3.0,0.0
293,0,0,1.1,78.36,-3.2,0.0
294,0,0,1.2,76.78,-3.4,0.0
295,0,0,1.8,77.93,-3.6,0.0
296,0,0,2.4,76.89,-3.8,0.0
297,0,0,2.9,78.64,-4.1,0.0
298,0,0,3.5,77.21,-4.3,0.0
299,0,0,3.6,79.07,-4.6,0.0
300,0,0,3.8,74.74,-4.9,0.0
301,0,0,3.9,76.45,-5.2,0.0
302,0,0,4.1,69.45,-5.5,0.0
303,5,0,4.5,68.92,-5.4,0.469267235
304,20,0,5.0,63.5,-5.4,1.877068939
305,34,0,5.3,62.54,-5.2,3.191010182
306,50,1,5.6,61.26,-5.1,4.692656876
307,66,7,5.8,60.8,-5.0,6.382006337999999
308,119,41,5.9,60.54,-4.8,12.57627897
309,142,71,6.0,60.08,-4.7,15.95496324
310,137,26,6.1,59.66,-4.6,13.89018803
311,108,18,6.1,59.66,-4.6,10.88690413
312,111,23,6.2,59.63,-4.6,11.35616724
313,137,38,6.3,60.08,-4.7,14.45331964
314,117,29,6.4,60.25,-4.8,12.20086765
315,78,9,6.5,61.64,-5.1,7.6959572760000015
316,93,24,6.6,61.52,-5.3,9.573041066
317,104,30,6.5,62.46,-5.5,10.60545116
318,99,40,6.5,61.5,-5.7,10.23005944
319,68,22,6.3,63.0,-6.0,6.757492734
320,38,16,6.0,62.02,-6.3,3.754175007
321,10,5,6.0,62.02,-6.3,0.938543752
322,0,0,5.4,61.99,-6.8,0.0
323,0,0,5.1,62.46,-6.9,0.0
324,0,0,4.9,60.98,-7.1,0.0
325,0,0,4.7,61.45,-7.2,0.0
326,0,0,4.5,59.31,-7.3,0.0
327,0,0,4.3,59.77,-7.4,0.0
328,0,0,4.1,57.3,-7.5,0.0
329,0,0,4.0,58.2,-7.7,0.0
330,0,0,3.8,55.23,-7.8,0.0
331,0,0,3.6,56.09,-8.0,0.0
332,0,0,3.4,53.54,-8.2,0.0
333,0,0,3.4,53.89,-8.3,0.0
334,0,0,3.4,51.96,-8.4,0.0
335,0,0,3.4,51.96,-8.4,0.0
288,0,0,1.7,52.4,-10.7,0.0
289,0,0,1.7,51.58,-10.5,0.0
290,0,0,1.7,49.37,-10.3,0.0
291,0,0,1.7,48.59,-10.1,0.0
292,0,0,1.7,47.31,-10.0,0.0
293,0,0,1.6,46.57,-9.8,0.0
294,0,0,1.6,45.08,-9.6,0.0
295,0,0,1.6,44.38,-9.4,0.0
296,0,0,1.6,42.89,-9.2,0.0
297,0,0,1.5,42.22,-9.0,0.0
298,0,0,1.5,40.64,-8.8,0.0
299,0,0,1.5,40.01,-8.6,0.0
300,0,0,1.5,38.75,-8.4,0.0
301,0,0,1.4,37.9,-8.1,0.0
302,0,0,1.4,36.53,-7.7,0.0
303,12,199,1.3,33.56,-6.6,1.407820269
304,24,586,1.1,35.87,-5.4,7.508275754
305,33,784,1.3,31.09,-3.5,15.76704987
306,38,874,1.5,32.17,-1.5,23.55620557
307,43,932,1.2,29.04,-0.1,30.78213765
308,47,971,1.0,25.24,1.3,37.069382
309,50,997,0.7,23.5,2.3,42.2304774
310,54,1013,0.5,21.91,3.2,46.17153193
311,55,1023,0.6,21.13,3.7,48.61122381
312,55,1027,0.7,21.65,4.2,49.54939214
313,54,1026,0.9,21.35,4.4,49.08006653
314,53,1018,1.1,22.14,4.5,47.10930463
315,52,1003,1.2,22.3,4.4,43.73099618
316,50,980,1.2,23.35,4.2,39.03891502
317,46,946,0.9,24.87,3.3,33.03325483
318,41,896,0.7,34.82,2.5,26.08899314
319,35,819,0.6,37.66,1.4,18.39390098
320,27,691,0.5,27.81,0.4,10.41706861
321,17,362,0.5,27.81,0.4,3.003118878
322,0,0,0.6,28.14,-1.2,0.0
323,0,0,0.9,30.29,-2.2,0.0
324,0,0,1.2,34.56,-3.2,0.0
325,0,0,1.3,36.73,-4.0,0.0
326,0,0,1.5,41.92,-4.9,0.0
327,0,0,1.5,42.88,-5.2,0.0
328,0,0,1.6,45.58,-5.4,0.0
329,0,0,1.7,45.58,-5.4,0.0
330,0,0,1.8,44.37,-5.4,0.0
331,0,0,1.7,43.65,-5.2,0.0
332,0,0,1.5,40.62,-4.9,0.0
333,0,0,1.5,40.62,-4.9,0.0
334,0,0,1.5,39.21,-4.9,0.0
335,0,0,1.5,39.5,-5.0,0.0
288,0,0,3.3,61.4,-1.4,0.0
289,0,0,3.3,60.95,-1.3,0.0
290,0,0,3.3,59.95,-1.3,0.0
